codigo;latitude;longitude;altitude
SIHI;"6° 36' 59"" S";"48° 59' 45"" W";193 m
SWOG;"13° 45' 9"" S";"56° 57' 40"" W";448 m
SJTK;"23° 30' 41"" S";"54° 15' 7"" W";382 m
SWIN;"14° 14' 41"" S";"57° 59' 32"" W";677 m
SWNJ;"15° 8' 21"" S";"53° 30' 14"" W";569 m
SWBJ;"13° 15' 18"" S";"52° 2' 24"" W";408 m
SNVU;"20° 25' 51"" S";"46° 51' 36"" W";730 m
SDAU;"19° 28' 7"" S";"52° 37' 17"" W";462 m
SJGI;"17° 26' 10"" S";"54° 9' 52"" W";675 m
SWHU;"22° 30' 24"" S";"50° 51' 55"" W";470 m
SJRJ;"21° 30' 7"" S";"53° 58' 5"" W";355 m
SDLX;"11° 26' 28"" S";"52° 12' 17"" W";432 m
SSNT;"11° 45' 24"" S";"44° 8' 0"" W";420 m
SSRJ;"29° 58' 58"" S";"51° 18' 2"" W";2 m
SJFI;"10° 57' 16"" S";"48° 59' 40"" W";294 m
SNAJ;"3° 25' 11"" S";"48° 19' 50"" W";133 m
SIJG;"21° 26' 33"" S";"50° 43' 33"" W";393 m
SSHK;"22° 35' 13"" S";"55° 34' 53"" W";628 m
SNZV;"3° 43' 22"" S";"47° 28' 40"" W";110 m
SWNN;"12° 46' 46"" S";"56° 28' 49"" W";398 m
SWXB;"15° 17' 51"" S";"55° 10' 33"" W";713 m
SIMX;"15° 14' 27"" S";"56° 34' 41"" W";247 m
SIRN;"14° 46' 9"" S";"51° 59' 9"" W";297 m
SNIZ;"12° 52' 57"" S";"60° 7' 10"" W";592 m
SJFJ;"20° 29' 59"" S";"54° 48' 29"" W";536 m
SNJD;"18° 25' 54"" S";"52° 39' 22"" W";792 m
SJDM;"10° 19' 31"" S";"53° 35' 9"" W";339 m
SSHX;"23° 55' 30"" S";"55° 17' 59"" W";407 m
SJTJ;"14° 11' 16"" S";"57° 31' 10"" W";623 m
SSJW;"21° 46' 57"" S";"53° 33' 32"" W";307 m
SSRW;"23° 12' 11"" S";"48° 6' 17"" W";551 m
SJQB;"21° 52' 42"" S";"53° 48' 56"" W";301 m
SDJF;"23° 50' 46"" S";"48° 26' 51"" W";704 m
SIKJ;"13° 1' 57"" S";"59° 55' 4"" W";603 m
SSBF;"20° 0' 16"" S";"51° 23' 12"" W";427 m
SNEL;"22° 33' 40"" S";"54° 57' 50"" W";483 m
SSON;"23° 47' 14"" S";"55° 1' 29"" W";404 m
SIJE;"20° 0' 25"" S";"57° 23' 30"" W";145 m
SNII;"19° 12' 37"" S";"55° 56' 23"" W";126 m
SSXQ;"19° 19' 52"" S";"51° 58' 18"" W";518 m
SWJB;"14° 44' 42"" S";"58° 7' 42"" W";508 m
SJJH;"13° 26' 23"" S";"59° 15' 25"" W";579 m
SIWO;"12° 40' 57"" S";"61° 5' 20"" W";329 m
SSJM;"18° 51' 5"" S";"52° 29' 59"" W";799 m
SNIV;"18° 38' 47"" S";"49° 52' 57"" W";434 m
SSJP;"22° 53' 27"" S";"51° 55' 30"" W";430 m
SJUJ;"10° 24' 28"" S";"53° 30' 51"" W";359 m
SJUO;"15° 17' 39"" S";"51° 17' 5"" W";274 m
SSHL;"23° 34' 30"" S";"52° 24' 30"" W";341 m
SWZQ;"15° 50' 43"" S";"51° 4' 19"" W";324 m
SJYD;"11° 57' 53"" S";"61° 41' 12"" W";214 m
SDMW;"14° 6' 44"" S";"50° 40' 56"" W";254 m
SSKH;"22° 54' 42"" S";"55° 32' 20"" W";564 m
SDHC;"21° 52' 12"" S";"49° 58' 51"" W";394 m
SWFK;"22° 2' 27"" S";"53° 43' 52"" W";390 m
SSBX;"18° 26' 44"" S";"54° 47' 45"" W";222 m
SSBM;"20° 17' 27"" S";"55° 26' 50"" W";198 m
SIXF;"20° 59' 50"" S";"52° 10' 8"" W";301 m
SDIE;"17° 45' 52"" S";"46° 32' 49"" W";563 m
SIZL;"22° 44' 52"" S";"49° 50' 41"" W";582 m
SJIN;"14° 27' 40"" S";"51° 4' 53"" W";270 m
SDOA;"5° 29' 19"" S";"45° 29' 19"" W";180 m
SWPE;"10° 7' 53"" S";"55° 35' 10"" W";259 m
SNLA;"6° 33' 53"" S";"49° 43' 30"" W";270 m
SDWI;"8° 10' 18"" S";"35° 38' 4"" W";523 m
SSTX;"16° 11' 39"" S";"43° 4' 24"" W";890 m
SNXK;"6° 32' 20"" S";"52° 46' 9"" W";170 m
SWZG;"16° 1' 20"" S";"58° 53' 40"" W";202 m
SWZO;"15° 20' 27"" S";"55° 8' 27"" W";710 m
SIQZ;"4° 36' 5"" S";"42° 36' 37"" W";147 m
SDZV;"16° 13' 55"" S";"53° 25' 9"" W";760 m
SJUH;"19° 14' 19"" S";"47° 29' 52"" W";1021 m
SNZY;"17° 2' 23"" S";"45° 29' 21"" W";515 m
SJIP;"23° 39' 18"" S";"54° 10' 31"" W";336 m
SDZF;"15° 59' 3"" S";"47° 28' 3"" W";898 m
SSQL;"18° 51' 8"" S";"44° 55' 5"" W";642 m
SWLN;"8° 43' 8"" S";"44° 33' 57"" W";627 m
SWLL;"13° 37' 36"" S";"45° 24' 54"" W";784 m
SJLI;"4° 12' 49"" S";"46° 58' 30"" W";292 m
SDDL;"16° 51' 56"" S";"50° 24' 39"" W";265 m
SSAG;"19° 43' 0"" S";"52° 43' 32"" W";430 m
SNNL;"12° 48' 6"" S";"57° 7' 45"" W";396 m
SJQF;"13° 21' 20"" S";"57° 45' 18"" W";515 m
SSEK;"20° 1' 4"" S";"53° 15' 9"" W";396 m
SSLD;"18° 38' 36"" S";"56° 45' 32"" W";100 m
SICQ;"15° 33' 15"" S";"55° 41' 30"" W";234 m
SSLP;"21° 54' 39"" S";"57° 38' 48"" W";91 m
SJFM;"23° 50' 9"" S";"54° 13' 53"" W";350 m
SIMA;"14° 3' 5"" S";"55° 23' 1"" W";536 m
SNLB;"9° 12' 11"" S";"65° 42' 31"" W";142 m
SWFM;"18° 10' 28"" S";"48° 12' 39"" W";632 m
SIVO;"12° 26' 53"" S";"51° 46' 27"" W";356 m
SNTD;"16° 35' 6"" S";"46° 30' 34"" W";568 m
SSYK;"23° 37' 25"" S";"48° 29' 33"" W";601 m
SDNV;"18° 30' 37"" S";"56° 25' 47"" W";120 m
SWKR;"18° 40' 12"" S";"51° 35' 7"" W";534 m
SWMJ;"12° 21' 18"" S";"56° 17' 49"" W";376 m
SSSI;"7° 52' 5"" S";"45° 0' 53"" W";442 m
SWHL;"15° 16' 27"" S";"55° 7' 16"" W";669 m
SSPA;"11° 57' 48"" S";"49° 2' 17"" W";266 m
SWWH;"21° 58' 58"" S";"53° 54' 12"" W";335 m
SSDQ;"20° 10' 56"" S";"56° 38' 7"" W";140 m
SWOM;"23° 1' 7"" S";"53° 58' 49"" W";303 m
SWJI;"8° 8' 44"" S";"45° 12' 15"" W";535 m
SWNU;"3° 9' 43"" S";"48° 6' 25"" W";43 m
SJMA;"19° 32' 25"" S";"53° 43' 14"" W";605 m
SIIN;"12° 2' 24"" S";"63° 2' 32"" W";161 m
SNIX;"13° 33' 12"" S";"59° 6' 1"" W";579 m
SNIR;"5° 44' 43"" S";"43° 36' 13"" W";217 m
SIQV;"12° 53' 28"" S";"58° 34' 30"" W";457 m
SJTG;"20° 55' 17"" S";"57° 26' 53"" W";118 m
SIMV;"19° 50' 19"" S";"47° 51' 1"" W";732 m
SWLQ;"7° 54' 29"" S";"61° 33' 48"" W";117 m
SIWQ;"20° 57' 43"" S";"53° 4' 14"" W";384 m
SIOQ;"23° 30' 20"" S";"54° 18' 34"" W";400 m
SISW;"13° 49' 22"" S";"59° 9' 46"" W";515 m
SSKO;"12° 55' 49"" S";"57° 20' 25"" W";346 m
SJHN;"23° 16' 51"" S";"54° 11' 10"" W";386 m
SIEO;"20° 13' 53"" S";"44° 55' 31"" W";726 m
SSUK;"20° 38' 24"" S";"51° 28' 36"" W";343 m
SJTF;"13° 3' 43"" S";"62° 15' 27"" W";168 m
SSRR;"18° 13' 6"" S";"54° 34' 48"" W";295 m
SIFM;"19° 3' 0"" S";"52° 57' 56"" W";624 m
SNNQ;"14° 7' 53"" S";"54° 14' 0"" W";573 m
SDVM;"14° 46' 23"" S";"59° 2' 51"" W";730 m
SDTW;"13° 36' 33"" S";"58° 31' 32"" W";575 m
SWMO;"16° 21' 43"" S";"55° 5' 2"" W";540 m
SJMZ;"12° 57' 27"" S";"45° 59' 5"" W";823 m
SDWM;"2° 15' 55"" S";"47° 35' 43"" W";68 m
SJOK;"19° 18' 56"" S";"52° 58' 36"" W";622 m
SSFM;"8° 1' 20"" S";"44° 54' 3"" W";512 m
SWXW;"12° 60' 0"" S";"46° 4' 32"" W";880 m
SWGQ;"14° 46' 51"" S";"57° 21' 15"" W";230 m
SDOY;"6° 13' 26"" S";"51° 45' 24"" W";236 m
SIYM;"24° 52' 54"" S";"53° 45' 17"" W";582 m
SNUW;"18° 25' 38"" S";"45° 21' 51"" W";631 m
SIRH;"18° 16' 2"" S";"54° 18' 49"" W";442 m
SSOY;"12° 17' 26"" S";"57° 1' 9"" W";266 m
SNYL;"10° 30' 17"" S";"55° 42' 35"" W";274 m
SIRV;"16° 7' 5"" S";"58° 45' 57"" W";151 m
SDMV;"22° 16' 28"" S";"48° 36' 15"" W";529 m
SIMO;"23° 13' 41"" S";"49° 46' 40"" W";770 m
SDOR;"20° 44' 51"" S";"47° 53' 22"" W";736 m
SNFM;"8° 59' 11"" S";"61° 27' 29"" W";145 m
SDGM;"19° 17' 36"" S";"43° 53' 29"" W";764 m
SWMQ;"10° 25' 43"" S";"60° 32' 52"" W";128 m
SWBD;"17° 56' 22"" S";"54° 55' 48"" W";175 m
SWJU;"11° 32' 36"" S";"49° 29' 34"" W";230 m
SSJL;"3° 14' 55"" N";"60° 14' 35"" W";116 m
SWLM;"9° 14' 43"" S";"63° 33' 24"" W";96 m
SIMU;"22° 16' 43"" S";"52° 50' 40"" W";280 m
SSNF;"20° 19' 47"" S";"48° 48' 36"" W";530 m
SNNC;"20° 36' 32"" S";"57° 33' 15"" W";84 m
SNZN;"23° 50' 16"" S";"55° 11' 5"" W";405 m
SSZY;"16° 4' 20"" S";"55° 5' 48"" W";568 m
SSFN;"18° 40' 25"" S";"57° 7' 24"" W";106 m
SNXZ;"9° 20' 7"" S";"45° 34' 21"" W";620 m
SWQN;"10° 58' 37"" S";"58° 26' 42"" W";267 m
SINK;"21° 52' 29"" S";"50° 52' 23"" W";482 m
SNEG;"14° 39' 4"" S";"57° 53' 17"" W";312 m
SJNW;"9° 37' 57"" S";"55° 12' 58"" W";344 m
SWNC;"10° 16' 3"" S";"67° 41' 53"" W";213 m
SSXR;"8° 58' 40"" S";"50° 22' 7"" W";211 m
SWAU;"19° 56' 47"" S";"48° 34' 44"" W";790 m
SWYA;"16° 2' 50"" S";"54° 57' 8"" W";324 m
SIAP;"12° 59' 55"" S";"55° 12' 50"" W";414 m
SJOA;"11° 54' 46"" S";"56° 9' 32"" W";390 m
SNQS;"22° 18' 10"" S";"54° 2' 38"" W";432 m
SDSM;"22° 45' 31"" S";"48° 32' 33"" W";757 m
SSDG;"12° 53' 47"" S";"55° 50' 4"" W";406 m
SICM;"21° 32' 20"" S";"52° 6' 38"" W";300 m
SIXO;"13° 59' 0"" S";"59° 39' 16"" W";462 m
SNNF;"20° 9' 17"" S";"54° 38' 57"" W";421 m
SWYR;"15° 21' 3"" S";"58° 47' 38"" W";317 m
SNNR;"22° 54' 59"" S";"53° 58' 24"" W";375 m
SWGT;"17° 10' 20"" S";"50° 12' 31"" W";582 m
SWTD;"9° 17' 43"" S";"58° 8' 36"" W";221 m
SJNA;"21° 19' 42"" S";"50° 11' 35"" W";412 m
SINV;"18° 11' 17"" S";"53° 5' 55"" W";854 m
SNZU;"2° 51' 20"" S";"48° 13' 58"" W";74 m
SDND;"22° 28' 56"" S";"51° 31' 47"" W";430 m
SJNH;"9° 27' 1"" S";"52° 8' 18"" W";258 m
SSNN;"14° 26' 27"" S";"54° 46' 2"" W";457 m
SDQG;"21° 53' 32"" S";"51° 10' 41"" W";445 m
SSDN;"10° 19' 21"" S";"45° 59' 3"" W";800 m
SSHE;"13° 54' 21"" S";"60° 19' 23"" W";215 m
SWLH;"8° 48' 25"" S";"46° 21' 32"" W";505 m
SSAC;"12° 35' 37"" S";"55° 41' 49"" W";373 m
SWZS;"16° 39' 30"" S";"57° 40' 15"" W";113 m
SWML;"6° 48' 5"" S";"56° 29' 27"" W";251 m
SWYY;"14° 53' 11"" S";"52° 16' 40"" W";300 m
SSNV;"19° 13' 59"" S";"57° 1' 47"" W";87 m
SSUI;"7° 5' 49"" S";"48° 45' 37"" W";185 m
SSNR;"18° 19' 1"" S";"54° 56' 9"" W";197 m
SNZH;"15° 25' 56"" S";"43° 54' 41"" W";542 m
SSFO;"20° 2' 23"" S";"56° 19' 13"" W";108 m
SNXN;"6° 37' 17"" S";"54° 59' 2"" W";269 m
SSNI;"22° 59' 12"" S";"53° 52' 40"" W";356 m
SWUW;"15° 6' 50"" S";"56° 50' 13"" W";246 m
SIKZ;"5° 40' 0"" S";"43° 32' 6"" W";119 m
SSOX;"18° 16' 9"" S";"54° 35' 35"" W";254 m
SSAO;"12° 0' 17"" S";"40° 16' 23"" W";405 m
SJOR;"14° 12' 45"" S";"45° 11' 58"" W";774 m
SIOI;"22° 39' 45"" S";"53° 43' 45"" W";346 m
SSOZ;"22° 15' 56"" S";"55° 46' 40"" W";658 m
SSMB;"22° 17' 11"" S";"43° 37' 30"" W";572 m
SIOM;"11° 50' 16"" S";"46° 13' 56"" W";842 m
SDHS;"12° 1' 4"" S";"56° 24' 49"" W";385 m
SJHX;"16° 35' 40"" S";"47° 17' 30"" W";899 m
SIRQ;"10° 36' 56"" S";"51° 58' 50"" W";231 m
SIHV;"16° 14' 12"" S";"55° 6' 59"" W";579 m
SNVY;"23° 58' 37"" S";"55° 21' 55"" W";396 m
SNPL;"21° 15' 23"" S";"51° 43' 44"" W";360 m
SNGJ;"5° 36' 20"" S";"49° 28' 30"" W";149 m
SIAC;"22° 8' 51"" S";"45° 45' 49"" W";915 m
SSHP;"25° 2' 50"" S";"51° 55' 23"" W";944 m
SDDX;"19° 53' 3"" S";"50° 30' 16"" W";430 m
SSNS;"13° 10' 59"" S";"45° 6' 17"" W";723 m
SWBK;"13° 5' 22"" S";"45° 49' 57"" W";837 m
SDQN;"11° 39' 23"" S";"46° 3' 9"" W";823 m
SJHE;"12° 5' 17"" S";"55° 59' 34"" W";364 m
SNPW;"17° 55' 32"" S";"53° 13' 15"" W";900 m
SNEZ;"15° 57' 34"" S";"50° 42' 50"" W";371 m
SDAF;"22° 9' 24"" S";"47° 43' 9"" W";854 m
SSUW;"22° 46' 31"" S";"51° 30' 15"" W";448 m
SWXP;"17° 58' 16"" S";"57° 1' 9"" W";104 m
SIQF;"20° 41' 46"" S";"48° 17' 13"" W";500 m
SSSV;"13° 49' 13"" S";"54° 45' 22"" W";556 m
SDCW;"20° 19' 17"" S";"48° 50' 1"" W";521 m
SIBP;"17° 29' 55"" S";"54° 18' 36"" W";613 m
SWFA;"16° 13' 23"" S";"47° 37' 39"" W";1000 m
SILG;"13° 45' 36"" S";"58° 44' 50"" W";515 m
SSAI;"14° 6' 18"" S";"46° 47' 54"" W";500 m
SSQD;"13° 2' 49"" S";"52° 10' 39"" W";380 m
SJOP;"15° 5' 3"" S";"56° 33' 8"" W";227 m
SSZQ;"22° 2' 20"" S";"56° 16' 10"" W";365 m
SSEH;"17° 57' 10"" S";"53° 14' 46"" W";898 m
SSPD;"14° 46' 0"" S";"60° 2' 0"" W";281 m
SIIP;"21° 21' 0"" S";"45° 50' 18"" W";805 m
SJDL;"17° 18' 28"" S";"55° 50' 43"" W";400 m
SNQF;"19° 55' 24"" S";"52° 9' 39"" W";431 m
SIQC;"19° 9' 26"" S";"52° 59' 45"" W";485 m
SJUU;"14° 1' 41"" S";"46° 52' 16"" W";442 m
SIIA;"11° 42' 0"" S";"58° 13' 5"" W";199 m
SNMW;"10° 33' 29"" S";"45° 26' 48"" W";787 m
SNWP;"13° 54' 49"" S";"57° 28' 46"" W";587 m
SJPC;"13° 37' 56"" S";"60° 17' 2"" W";237 m
SWXT;"9° 6' 17"" S";"45° 37' 4"" W";579 m
SSEF;"21° 19' 37"" S";"47° 13' 52"" W";1412 m
SDLH;"19° 19' 19"" S";"54° 31' 17"" W";728 m
SSYL;"5° 32' 49"" S";"43° 31' 13"" W";198 m
SIFX;"9° 18' 29"" S";"51° 36' 39"" W";300 m
SIHX;"9° 24' 22"" S";"58° 11' 28"" W";240 m
SSDT;"7° 56' 37"" S";"50° 10' 35"" W";242 m
SNUA;"25° 23' 30"" S";"54° 24' 36"" W";250 m
SWPH;"15° 13' 34"" S";"52° 7' 48"" W";302 m
SJQZ;"12° 25' 31"" S";"62° 8' 35"" W";202 m
SDIL;"22° 54' 8"" S";"44° 17' 17"" W";16 m
SWFL;"10° 5' 38"" S";"50° 22' 58"" W";183 m
SJFP;"20° 7' 40"" S";"57° 39' 5"" W";83 m
SWLR;"16° 27' 20"" S";"48° 24' 59"" W";424 m
SSGE;"20° 30' 7"" S";"51° 50' 1"" W";360 m
SWBO;"12° 54' 35"" S";"61° 22' 14"" W";226 m
SDFE;"16° 28' 23"" S";"53° 54' 45"" W";656 m
SWDW;"28° 20' 13"" S";"52° 29' 9"" W";608 m
SWQY;"2° 41' 4"" S";"52° 22' 3"" W";117 m
SWPP;"14° 44' 58"" S";"50° 39' 47"" W";281 m
SJVN;"13° 41' 9"" S";"57° 48' 7"" W";568 m
SIQR;"12° 6' 10"" S";"52° 26' 4"" W";333 m
SWPQ;"10° 51' 32"" S";"51° 41' 22"" W";196 m
SDKP;"22° 16' 6"" S";"53° 25' 59"" W";376 m
SWIW;"15° 25' 2"" S";"48° 38' 2"" W";708 m
SNFP;"12° 12' 41"" S";"55° 51' 24"" W";352 m
SDPH;"12° 49' 19"" S";"50° 19' 56"" W";214 m
SSJV;"17° 56' 33"" S";"56° 28' 48"" W";46 m
SDBI;"23° 53' 7"" S";"55° 3' 21"" W";353,568 m
SIAU;"16° 13' 26"" S";"59° 45' 19"" W";264 m
SDIN;"21° 53' 14"" S";"52° 55' 49"" W";435 m
SWOX;"21° 46' 48"" S";"47° 52' 58"" W";628 m
SSMX;"21° 8' 34"" S";"46° 29' 2"" W";1200 m
SDTS;"20° 20' 29"" S";"54° 24' 57"" W";710 m
SIYI;"17° 15' 50"" S";"51° 9' 6"" W";876 m
SWIE;"14° 5' 54"" S";"46° 8' 28"" W";977 m
SIUM;"8° 33' 22"" S";"46° 51' 0"" W";561 m
SWOT;"13° 56' 38"" S";"58° 53' 38"" W";647 m
SWXS;"16° 9' 41"" S";"56° 0' 28"" W";139 m
SSGJ;"17° 14' 59"" S";"56° 16' 32"" W";101 m
SWWP;"18° 19' 20"" S";"48° 50' 38"" W";520 m
SDBP;"15° 44' 17"" S";"51° 6' 58"" W";412 m
SNXP;"19° 58' 41"" S";"50° 58' 6"" W";405 m
SWOK;"17° 18' 20"" S";"53° 56' 6"" W";660 m
SDLO;"13° 33' 52"" S";"38° 56' 20"" W";3 m
SSOO;"19° 25' 50"" S";"54° 17' 42"" W";389 m
SDFU;"21° 52' 14"" S";"52° 9' 47"" W";295 m
SNWU;"23° 0' 31"" S";"55° 30' 35"" W";480 m
SDNY;"13° 53' 3"" S";"57° 52' 2"" W";599 m
SWZR;"20° 27' 59"" S";"52° 41' 15"" W";402 m
SSGD;"14° 6' 56"" S";"45° 50' 20"" W";891 m
SDAO;"14° 1' 36"" S";"56° 32' 42"" W";464 m
SDPA;"22° 55' 39"" S";"44° 4' 48"" W";6 m
SDCF;"19° 41' 48"" S";"56° 17' 2"" W";111 m
SJLD;"15° 42' 56"" S";"57° 42' 41"" W";132 m
SIMY;"23° 12' 40"" S";"54° 5' 45"" W";317 m
SWXO;"7° 7' 54"" S";"52° 43' 38"" W";244 m
SIOJ;"20° 18' 48"" S";"44° 41' 54"" W";828 m
SJHH;"18° 7' 11"" S";"52° 13' 2"" W";684 m
SSDW;"12° 54' 56"" S";"55° 32' 8"" W";407 m
SSOD;"20° 15' 3"" S";"56° 24' 34"" W";114 m
SIXG;"18° 1' 51"" S";"47° 27' 45"" W";857 m
SWRL;"12° 58' 38"" S";"61° 2' 57"" W";331 m
SWFP;"4° 9' 38"" S";"55° 22' 55"" W";123 m
SSPR;"7° 50' 18"" S";"44° 20' 26"" W";498 m
SJJV;"20° 58' 29"" S";"54° 19' 44"" W";495 m
SSNJ;"19° 30' 27"" S";"55° 54' 19"" W";104 m
SWUH;"16° 14' 46"" S";"57° 37' 17"" W";365 m
SSFX;"23° 27' 21"" S";"50° 34' 33"" W";682,42 m
SSQR;"21° 23' 10"" S";"53° 35' 53"" W";361 m
SSKR;"17° 9' 49"" S";"50° 48' 59"" W";704 m
SWPF;"13° 27' 34"" S";"61° 14' 2"" W";168 m
SIOA;"15° 34' 3"" S";"39° 9' 10"" W";36 m
SWKL;"12° 33' 28"" S";"61° 59' 46"" W";180 m
SIMZ;"17° 52' 33"" S";"54° 56' 30"" W";182 m
SWUV;"7° 30' 9"" S";"44° 12' 12"" W";450 m
SIPN;"21° 30' 36"" S";"57° 41' 26"" W";100 m
SSFW;"13° 9' 26"" S";"41° 30' 26"" W";1170 m
SIOU;"3° 22' 23"" S";"47° 25' 26"" W";181 m
SISV;"13° 53' 48"" S";"57° 6' 13"" W";515 m
SJPS;"11° 47' 30"" S";"54° 26' 40"" W";364 m
SJFQ;"22° 56' 56"" S";"48° 39' 54"" W";744 m
SDMQ;"21° 50' 53"" S";"57° 54' 1"" W";81 m
SNKQ;"21° 4' 57"" S";"57° 39' 22"" W";92 m
SSKY;"14° 28' 10"" S";"58° 21' 32"" W";731 m
SDYQ;"18° 51' 15"" S";"54° 40' 22"" W";443 m
SJAZ;"12° 46' 8"" S";"45° 1' 17"" W";833 m
SSXY;"7° 56' 34"" S";"44° 23' 1"" W";503 m
SWVU;"21° 44' 0"" S";"54° 34' 36"" W";335 m
SSZX;"15° 41' 52"" S";"59° 55' 33"" W";210 m
SWIC;"13° 31' 11"" S";"56° 4' 0"" W";447 m
SSRL;"18° 47' 40"" S";"55° 14' 47"" W";163 m
SIUQ;"12° 46' 34"" S";"50° 55' 34"" W";215 m
SWYC;"16° 15' 22"" S";"59° 42' 54"" W";262 m
SJXB;"21° 5' 48"" S";"56° 33' 53"" W";388 m
SWGS;"12° 13' 42"" S";"57° 14' 16"" W";368 m
SIXV;"18° 8' 44"" S";"53° 21' 49"" W";825 m
SNWJ;"15° 12' 29"" S";"58° 37' 29"" W";410 m
SIZQ;"23° 2' 12"" S";"48° 26' 28"" W";938 m
SJNL;"13° 37' 13"" S";"57° 34' 51"" W";546 m
SNRC;"18° 0' 25"" S";"54° 0' 41"" W";333 m
SDAJ;"22° 35' 44"" S";"54° 5' 41"" W";382 m
SNOR;"21° 3' 52"" S";"55° 1' 40"" W";461 m
SDRF;"22° 44' 46"" S";"44° 3' 3"" W";533 m
SNZT;"3° 30' 18"" S";"48° 20' 1"" W";152 m
SJJR;"21° 42' 47"" S";"44° 12' 12"" W";1,157 m
SSPZ;"22° 43' 0"" S";"48° 2' 56"" W";556 m
SJDV;"19° 36' 43"" S";"56° 43' 51"" W";99 m
SNNW;"14° 27' 58"" S";"46° 52' 14"" W";468 m
SJZW;"23° 17' 12"" S";"48° 44' 17"" W";623 m
SDXU;"13° 37' 36"" S";"53° 15' 53"" W";350 m
SWRM;"11° 10' 56"" S";"61° 5' 20"" W";227 m
SWQO;"20° 23' 15"" S";"48° 54' 56"" W";475 m
SJAQ;"16° 7' 1"" S";"46° 21' 16"" W";926 m
SWRE;"16° 46' 14"" S";"53° 31' 37"" W";740 m
SSDZ;"12° 48' 19"" S";"46° 8' 34"" W";890 m
SDRW;"21° 30' 41"" S";"53° 3' 10"" W";320 m
SWUR;"16° 11' 19"" S";"57° 42' 20"" W";128 m
SIJW;"23° 30' 26"" S";"54° 49' 5"" W";341 m
SSFJ;"20° 48' 39"" S";"54° 37' 5"" W";445 m
SNPF;"13° 29' 11"" S";"49° 1' 50"" W";342 m
SIBJ;"18° 40' 51"" S";"49° 59' 13"" W";427 m
SIMW;"20° 20' 56"" S";"53° 58' 15"" W";485 m
SDRL;"21° 26' 59"" S";"57° 49' 35"" W";88 m
SJUR;"13° 28' 5"" S";"54° 5' 50"" W";477 m
SNLW;"16° 52' 14"" S";"50° 57' 35"" W";834 m
SJLG;"17° 14' 27"" S";"51° 29' 41"" W";874 m
SISR;"1° 13' 26"" S";"48° 2' 29"" W";49 m
SIUR;"19° 36' 35"" S";"53° 29' 47"" W";451 m
SSDL;"8° 0' 32"" S";"45° 20' 0"" W";484 m
SSAD;"18° 45' 47"" S";"52° 55' 34"" W";834 m
SIFU;"22° 24' 56"" S";"43° 46' 31"" W";402 m
SWRX;"13° 57' 10"" S";"55° 46' 42"" W";513 m
SNYZ;"8° 26' 18"" S";"51° 17' 5"" W";315 m
SJUB;"15° 11' 0"" S";"60° 13' 9"" W";297 m
SIOL;"19° 11' 59"" S";"52° 58' 8"" W";568 m
SJGD;"12° 48' 12"" S";"45° 43' 25"" W";853 m
SDFI;"13° 44' 17"" S";"50° 0' 51"" W";276 m
SJZH;"10° 53' 14"" S";"55° 0' 3"" W";356 m
SNKJ;"8° 20' 2"" S";"51° 26' 49"" W";278 m
SSUR;"11° 33' 34"" S";"52° 15' 8"" W";326 m
SNIS;"5° 11' 49"" S";"43° 35' 52"" W";140 m
SNIH;"19° 34' 18"" S";"56° 14' 41"" W";109 m
SJUL;"22° 52' 12"" S";"49° 2' 9"" W";669 m
SDWR;"11° 28' 32"" S";"51° 41' 14"" W";270 m
SNYO;"21° 22' 45"" S";"50° 41' 21"" W";489 m
SJVQ;"7° 29' 45"" S";"45° 30' 3"" W";347 m
SNRV;"6° 52' 34"" S";"49° 27' 31"" W";137 m
SJZR;"12° 7' 44"" S";"63° 0' 32"" W";156 m
SWZV;"21° 51' 44"" S";"56° 46' 26"" W";305 m
SDXR;"21° 16' 46"" S";"50° 0' 25"" W";391 m
SWOL;"15° 5' 46"" S";"52° 24' 0"" W";412 m
SWRI;"12° 9' 26"" S";"52° 16' 21"" W";303 m
SIYR;"4° 19' 2"" S";"56° 6' 33"" W";31 m
SDYG;"13° 14' 22"" S";"39° 45' 36"" W";430 m
SDCH;"18° 18' 6"" S";"49° 50' 47"" W";553 m
SWLP;"9° 58' 20"" S";"61° 14' 0"" W";167 m
SJNR;"1° 5' 6"" N";"49° 54' 18"" W";12 m
SWWR;"7° 13' 52"" S";"45° 52' 55"" W";360 m
SSOT;"16° 20' 51"" S";"45° 20' 34"" W";481 m
SWYU;"13° 44' 39"" S";"46° 9' 47"" W";964 m
SNES;"16° 26' 14"" S";"55° 16' 5"" W";412 m
SJSC;"27° 57' 17"" S";"52° 30' 28"" W";649 m
SIVN;"16° 36' 0"" S";"43° 46' 0"" W";655 m
SILA;"22° 45' 24"" S";"53° 50' 25"" W";345 m
SWAD;"18° 15' 39"" S";"49° 35' 49"" W";487 m
SIUO;"10° 43' 16"" S";"52° 16' 53"" W";313 m
SINT;"15° 11' 41"" S";"49° 22' 46"" W";686 m
SSZP;"22° 41' 46"" S";"54° 12' 57"" W";427 m
SDDA;"18° 27' 35"" S";"55° 32' 0"" W";162 m
SWAL;"23° 34' 53"" S";"48° 16' 54"" W";625 m
SWRW;"15° 35' 15"" S";"58° 2' 40"" W";229 m
SDVX;"10° 18' 28"" S";"56° 34' 45"" W";318 m
SSJG;"21° 12' 59"" S";"57° 40' 53"" W";107 m
SJBF;"14° 37' 4"" S";"44° 11' 17"" W";508 m
