codigo;latitude;longitude;altitude
SJYS;"3° 59' 27"" N";"60° 10' 54"" W";181 m
SIJY;"26° 58' 59"" S";"48° 48' 59"" W";10 m
SNCY;"10° 13' 22"" S";"36° 17' 7"" W";42 m
SJYT;"4° 43' 12"" N";"60° 46' 11"" W";364 m
SJYU;"4° 41' 8"" N";"60° 48' 10"" W";364 m
SDYX;"4° 51' 15"" S";"42° 15' 38"" W";149 m
SINC;"28° 22' 54"" S";"49° 34' 9"" W";1438 m
SINP;"23° 7' 17"" S";"53° 4' 42"" W";381 m
SSCE;"6° 0' 41"" S";"35° 17' 30"" W";66 m
SDLZ;"15° 31' 55"" S";"55° 8' 16"" W";772 m
SJKL;"4° 37' 8"" N";"60° 4' 18"" W";303 m
SJKM;"4° 48' 29"" N";"60° 1' 20"" W";575 m
SWCC;"20° 50' 20"" S";"52° 18' 6"" W";333 m
SDKH;"6° 31' 45"" S";"64° 23' 2"" W";56 m
SWMC;"21° 27' 30"" S";"47° 53' 16"" W";590 m
SIMJ;"18° 39' 34"" S";"49° 32' 51"" W";611 m
SNJA;"30° 8' 4"" S";"50° 30' 35"" W";13 m
SJKN;"4° 42' 17"" N";"60° 15' 55"" W";606 m
SDKL;"3° 50' 12"" N";"59° 46' 38"" W";33 m
SJKQ;"5° 7' 23"" N";"60° 35' 9"" W";606 m
SWKN;"14° 52' 2"" S";"58° 30' 24"" W";500 m
SJKP;"4° 32' 28"" N";"60° 27' 47"" W";364 m
SDKZ;"4° 33' 29"" N";"60° 28' 12"" W";239 m
SJKO;"4° 3' 47"" N";"60° 9' 54"" W";181 m
SJXM;"21° 43' 49"" S";"43° 53' 32"" W";1088 m
SNCB;"2° 31' 32"" S";"53° 56' 38"" W";153 m
SWBB;"13° 37' 13"" S";"46° 5' 50"" W";939 m
SDCD;"21° 8' 55"" S";"48° 59' 17"" W";561 m
SJKS;"2° 22' 32"" N";"63° 0' 30"" W";333 m
SJCM;"3° 56' 23"" S";"38° 22' 45"" W";23 m
SWLU;"29° 53' 14"" S";"50° 43' 46"" W";25 m
SIPB;"2° 26' 53"" S";"44° 7' 11"" W";33 m
SWPW;"23° 7' 36"" S";"45° 39' 46"" W";670 m
SNOG;"5° 39' 41"" S";"35° 24' 49"" W";52 m
SIIC;"14° 22' 11"" S";"45° 32' 28"" W";838 m
SDCX;"9° 23' 55"" S";"45° 8' 7"" W";643 m
SSUC;"1° 10' 9"" S";"48° 12' 38"" W";18 m
SDXI;"19° 8' 21"" S";"53° 42' 14"" W";545 m
SSAU;"30° 44' 51"" S";"51° 25' 44"" W";4 m
SNSK;"21° 52' 8"" S";"50° 18' 32"" W";498 m
